NODE_ID,NODE_NAME,x,y
"2140383000",한산리877-9,126.9686074693,37.0622789301
"2140383100",율북리1157,126.9754521848,37.0568875290
"2140383300",율북리1119-7,126.9688195242,37.0622722360
"2790266200",용산리1044-39,127.5318099621,36.7818054380
"2140383400",율북리1119-7,126.9687645983,37.0623510202
"2140383500",율북리1141-4,126.9754286266,37.0570229437
"2140386300",율북리1121-2,126.9714876686,37.0623021290
"2030106500",망포벽산E빌리지,127.0457888333,37.2358352009
"2340212600",역동184-3,127.2495390212,37.3969555454
"2340212700",역동184-3,127.2496374045,37.3968806296
"2760206900",구음리654-4,127.7196292272,36.3255375456
"2760207000",구음리654-4,127.7197354762,36.3255645374
"2760207200",구음리산48-4,127.7229642627,36.3262508592
"2760207300",거포3교서측,127.7272654909,36.3257449591
"2760207400",거포3교서측,127.7272362270,36.3258319059
"2760207500",거포3교동측,127.7280047439,36.3259420197
"2760207600",거포3교동측,127.7279606965,36.3260247851
"2760207700",거포2교서측,127.7332287521,36.3301454679
"2760207800",거포2교서측,127.7331758845,36.3302245171
"2340213000",역동184-3,127.2496316657,37.3970345128
"2340213100",역동184-3,127.2497303314,37.3969593366
"2340213400",역동184-6,127.2498930788,37.3972578854
"2340213500",역동184-7,127.2499928819,37.3971845925
"2340212800",하이마트경기광주역점,127.2510542371,37.3958188166
"2340212900",하이마트경기광주역점,127.2511561009,37.3957434088
"2340213200",하이마트경기광주역점,127.2511471556,37.3958975965
"2340213300",하이마트경기광주역점,127.2512484744,37.3958225213
"2790267400",은암산단관리사무소,127.5252534124,36.7908861089
"2380105201",초성교남측,127.0648953274,37.9772502721
"2380106000",청산IC,127.0662588131,37.9832580216
"2380105900",청산IC교북측,127.0644514322,37.9809935926
"2380105800",청산IC교북측,127.0643544567,37.9810663281
"2380106100",청산IC,127.0660967632,37.9828842801
"2380105301",초성교북측,127.0641866578,37.9801171205
"2030104000",자원회수시설,127.0679758473,37.2599126301
"2030104100",자원회수시설,127.0680881564,37.2598523579
"2790271400",은암리520,127.5337036157,36.7917978046
"2790271500",은암리520,127.5336625867,36.7918835409
"2790271600",은암리55-5,127.5338023888,36.7918453627
"2790271700",은암리55-5,127.5337602453,36.7919291557
"2790271800",은암리521,127.5349462948,36.7911690066
"2030104200",영흥숲푸르지오,127.0687169873,37.2615611652
"2030104300",영흥숲푸르지오,127.0688752929,37.2614505143
"2030104400",영흥숲푸르지오,127.0688698824,37.2616662664
